code,nameUk,nameEn
kyiv,Київська,Kyiv
lviv,Львівська,Lviv
odesa,Одеська,Odesa
dnipro,Дніпропетровська,Dnipro
kharkiv,Харківська,Kharkiv
chernihiv,Чернігівська,Chernihiv
poltava,Полтавська,Poltava
zhytomyr,Житомирська,Zhytomyr
sumy,Сумська,Sumy
zaporizhzhia,Запорізька,Zaporizhzhia
vinnytsia,Вінницька,Vinnytsia
khmelnytskyi,Хмельницька,Khmelnytskyi
cherkasy,Черкаська,Cherkasy
ivano-frankivsk,Івано-Франківська,Ivano-Frankivsk
ternopil,Тернопільська,Ternopil
volyn,Волинська,Volyn
rivne,Рівненська,Rivne
kropyvnytskyi,Кіровоградська,Kirovohrad
mykolaiv,Миколаївська,Mykolaiv
zakarpattia,Закарпатська,Zakarpattia
kherson,Херсонська,Kherson
chernivtsi,Чернівецька,Chernivtsi
donetsk,Донецька,Donetsk
luhansk,Луганська,Luhansk
crimea,АР Крим,Crimea
sevastopol,Севастополь,Sevastopol
